Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.015000000000000000e+02,6.494669531152833031e+01,1.048388134190450494e+01,6.659957363073118586e+01,1.103676316729561968e+01
-1.014000000000000057e+02,6.494470633289439832e+01,1.047927246268001511e+01,6.657387138304163443e+01,1.100734494697664445e+01
-1.012999999999999972e+02,6.494291131560316899e+01,1.047464300506782209e+01,6.655013106441822401e+01,1.098247289344534217e+01
-1.012000000000000028e+02,6.494132825212916771e+01,1.047013804696170247e+01,6.652895918828677679e+01,1.096287435249223918e+01
-1.010999999999999943e+02,6.493996621750059717e+01,1.046590931667712532e+01,6.651043302262722534e+01,1.094841819048308373e+01
-1.010000000000000000e+02,6.493883647717076713e+01,1.046209686310043629e+01,6.649438183757344234e+01,1.093857496814477948e+01
-1.009000000000000057e+02,6.493794004383150309e+01,1.045882961198126360e+01,6.648062902111459493e+01,1.093280368339306463e+01
-1.007999999999999972e+02,6.493724983816264285e+01,1.045621211641385884e+01,6.646897715621378211e+01,1.093055939112930730e+01
-1.007000000000000028e+02,6.493669939799607960e+01,1.045428558314231537e+01,6.645916174346766070e+01,1.093125684471761438e+01
-1.005999999999999943e+02,6.493618724041849077e+01,1.045302623560104571e+01,6.645082607478435932e+01,1.093423295700909748e+01
-1.005000000000000000e+02,6.493559940593368651e+01,1.045238743639150236e+01,6.644357634876507746e+01,1.093873874923575507e+01
-1.004000000000000057e+02,6.493482174423022002e+01,1.045232281734663893e+01,6.643704151472894637e+01,1.094394263925576816e+01
-1.002999999999999972e+02,6.493373980147312352e+01,1.045278626992288906e+01,6.643085989576510997e+01,1.094897283506821317e+01
-1.002000000000000028e+02,6.493223878469243004e+01,1.045373195745209927e+01,6.642473727397924677e+01,1.095310494976942550e+01
-1.000999999999999943e+02,6.493022029859744748e+01,1.045510159673960437e+01,6.641859500994753773e+01,1.095601600394594399e+01
-1.000000000000000000e+02,6.492765469336826811e+01,1.045682514645812766e+01,6.641255434547011305e+01,1.095773603683255359e+01
-9.990000000000000568e+01,6.492459985740677553e+01,1.045884698928983170e+01,6.640676959447590377e+01,1.095842812072242012e+01
-9.979999999999999716e+01,6.492114882954982136e+01,1.046112529233246136e+01,6.640134342914537058e+01,1.095832689504886659e+01
-9.970000000000000284e+01,6.491739425744762571e+01,1.046361855767627169e+01,6.639634894922956221e+01,1.095771259140245313e+01
-9.959999999999999432e+01,6.491342848904096741e+01,1.046628552998106798e+01,6.639182294010170438e+01,1.095680482782305809e+01
-9.950000000000000000e+01,6.490934991874684101e+01,1.046908406012224191e+01,6.638768415941395062e+01,1.095560467125235427e+01
-9.940000000000000568e+01,6.490526933656380493e+01,1.047196999370677162e+01,6.638371879947030152e+01,1.095387822229541719e+01
-9.929999999999999716e+01,6.490130298650619523e+01,1.047489767892997570e+01,6.637966603499901908e+01,1.095130670970322484e+01
-9.920000000000000284e+01,6.489756605149332813e+01,1.047782051039980367e+01,6.637527155649038946e+01,1.094757053664997493e+01
-9.909999999999999432e+01,6.489416815204133115e+01,1.048069248532485354e+01,6.637031552568879533e+01,1.094237501262388790e+01
-9.900000000000000000e+01,6.489120616096364813e+01,1.048346993511295722e+01,6.636465113788763404e+01,1.093549920069642134e+01
-9.890000000000000568e+01,6.488876504654220412e+01,1.048611450075646623e+01,6.635818949964213687e+01,1.092678148333492061e+01
-9.879999999999999716e+01,6.488691151780354005e+01,1.048861106942277033e+01,6.635089782149107407e+01,1.091611424532436736e+01
-9.870000000000000284e+01,6.488568746171944213e+01,1.049097910805278033e+01,6.634284983901422095e+01,1.090349836767808966e+01
-9.859999999999999432e+01,6.488510306091839652e+01,1.049322520005585702e+01,6.633419586544033564e+01,1.088899801001604217e+01
-9.850000000000000000e+01,6.488512181728769690e+01,1.049529677283101492e+01,6.632508845719038959e+01,1.087269413175070198e+01
-9.840000000000000568e+01,6.488566654734010797e+01,1.049710279555289283e+01,6.631563853296223954e+01,1.085468381987790565e+01
